"id","name","created_at","updated_at"
1,"Simon & Garfunkel","2025-03-23 19:54:11","2025-03-23 19:54:11"
2,"The Beatles","2025-03-23 19:54:11","2025-03-23 19:54:11"
3,"Nirvana","2025-03-23 19:54:11","2025-03-23 19:54:11"
4,"Shubidua","2025-03-23 19:54:11","2025-03-23 19:54:11"
5,"The Boomtown Rats","2025-03-23 19:54:11","2025-03-23 19:54:11"
6,"Kliche","2025-03-23 19:54:11","2025-03-23 19:54:11"
7,"Passenger","2025-03-23 19:54:11","2025-03-23 19:54:11"
8,"Sneakers","2025-03-23 19:54:11","2025-03-23 19:54:11"
9,"Bryan Adams","2025-03-23 19:54:11","2025-03-23 19:54:11"
10,"Olivia Newton-John","2025-03-23 19:54:11","2025-03-23 19:54:11"
11,"Peter Belli","2025-03-23 19:54:11","2025-03-23 19:54:11"
12,"Robbie Williams","2025-03-23 19:54:11","2025-03-23 19:54:11"
13,"Klondyke","2025-03-23 19:54:11","2025-03-23 19:54:11"
14,"Genesis","2025-03-23 19:54:11","2025-03-23 19:54:11"
15,"Temptations","2025-03-23 19:54:11","2025-03-23 19:54:11"
16,"Katie Melua","2025-03-23 19:54:11","2025-03-23 19:54:11"
17,"Eagles","2025-03-23 19:54:11","2025-03-23 19:54:11"
18,"Johannes Møllehave","2025-03-23 19:54:11","2025-03-23 19:54:11"
19,"Fleetwood Mac","2025-03-23 19:54:11","2025-03-23 19:54:11"
20,"Katrine Muff Enevoldsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
21,"J. Marks","2025-03-23 19:54:11","2025-03-23 19:54:11"
22,"Pink Floyd","2025-03-23 19:54:11","2025-03-23 19:54:11"
23,"Rasmus Seebach","2025-03-23 19:54:11","2025-03-23 19:54:11"
24,"Counting Crows","2025-03-23 19:54:11","2025-03-23 19:54:11"
25,"The B-52's","2025-03-23 19:54:11","2025-03-23 19:54:11"
26,"Steppeulvene","2025-03-23 19:54:11","2025-03-23 19:54:11"
27,"Electric Light Orchestra","2025-03-23 19:54:11","2025-03-23 19:54:11"
28,"Neil Young","2025-03-23 19:54:11","2025-03-23 19:54:11"
29,"Four Jacks","2025-03-23 19:54:11","2025-03-23 19:54:11"
30,"Pia Raug","2025-03-23 19:54:11","2025-03-23 19:54:11"
31,"Kim Larsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
32,"Pink","2025-03-23 19:54:11","2025-03-23 19:54:11"
33,"Lou Reed","2025-03-23 19:54:11","2025-03-23 19:54:11"
34,"Roxy Music","2025-03-23 19:54:11","2025-03-23 19:54:11"
35,"Nancy Sinatra","2025-03-23 19:54:11","2025-03-23 19:54:11"
36,"Abba","2025-03-23 19:54:11","2025-03-23 19:54:11"
37,"Tom Petty","2025-03-23 19:54:11","2025-03-23 19:54:11"
38,"Bon Jovi","2025-03-23 19:54:11","2025-03-23 19:54:11"
39,"Kris Kristoffersen","2025-03-23 19:54:11","2025-03-23 19:54:11"
40,"Shit & Chanel","2025-03-23 19:54:11","2025-03-23 19:54:11"
41,"Spiritual","2025-03-23 19:54:11","2025-03-23 19:54:11"
42,"The Dubliners","2025-03-23 19:54:11","2025-03-23 19:54:11"
43,"Depeche Mode","2025-03-23 19:54:11","2025-03-23 19:54:11"
44,"Michael Jackson","2025-03-23 19:54:11","2025-03-23 19:54:11"
45,"Clausen & Petersen","2025-03-23 19:54:11","2025-03-23 19:54:11"
46,"PJ Harvey","2025-03-23 19:54:11","2025-03-23 19:54:11"
47,"Alicia Keys","2025-03-23 19:54:11","2025-03-23 19:54:11"
48,"Human League","2025-03-23 19:54:11","2025-03-23 19:54:11"
49,"Peter Gabriel","2025-03-23 19:54:11","2025-03-23 19:54:11"
50,"Willie Nelson","2025-03-23 19:54:11","2025-03-23 19:54:11"
51,"Pil","2025-03-23 19:54:11","2025-03-23 19:54:11"
52,"Oasis","2025-03-23 19:54:11","2025-03-23 19:54:11"
53,"Emil fra Lønneberg","2025-03-23 19:54:11","2025-03-23 19:54:11"
54,"Gangway","2025-03-23 19:54:11","2025-03-23 19:54:11"
55,"Blur","2025-03-23 19:54:11","2025-03-23 19:54:11"
56,"Daimi","2025-03-23 19:54:11","2025-03-23 19:54:11"
57,"Tom Waits","2025-03-23 19:54:11","2025-03-23 19:54:11"
58,"Bruce Springsteen","2025-03-23 19:54:11","2025-03-23 19:54:11"
59,"The Police","2025-03-23 19:54:11","2025-03-23 19:54:11"
60,"Pete Seeger","2025-03-23 19:54:11","2025-03-23 19:54:11"
61,"Frank Zappa","2025-03-23 19:54:11","2025-03-23 19:54:11"
62,"Edwyn Collins","2025-03-23 19:54:11","2025-03-23 19:54:11"
63,"Kris Kristofferson","2025-03-23 19:54:11","2025-03-23 19:54:11"
64,"Dolly Parton","2025-03-23 19:54:11","2025-03-23 19:54:11"
65,"Pointer Sisters","2025-03-23 19:54:11","2025-03-23 19:54:11"
66,"Kai Normann Andersen","2025-03-23 19:54:11","2025-03-23 19:54:11"
67,"Johnny Madsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
68,"Pil & Andreas Odbjerg","2025-03-23 19:54:11","2025-03-23 19:54:11"
69,"Minds of 99","2025-03-23 19:54:11","2025-03-23 19:54:11"
70,"Phil Collins","2025-03-23 19:54:11","2025-03-23 19:54:11"
71,"Roy Orbinson","2025-03-23 19:54:11","2025-03-23 19:54:11"
72,"Free","2025-03-23 19:54:11","2025-03-23 19:54:11"
73,"Diverse","2025-03-23 19:54:11","2025-03-23 19:54:11"
74,"TV2","2025-03-23 19:54:11","2025-03-23 19:54:11"
75,"Mentor Williams","2025-03-23 19:54:11","2025-03-23 19:54:11"
76,"Uncle Kracker","2025-03-23 19:54:11","2025-03-23 19:54:11"
77,"Babybird","2025-03-23 19:54:11","2025-03-23 19:54:11"
78,"Phil Spector","2025-03-23 19:54:11","2025-03-23 19:54:11"
79,"Aerosmith","2025-03-23 19:54:11","2025-03-23 19:54:11"
80,"Marvin Gaye","2025-03-23 19:54:11","2025-03-23 19:54:11"
81,"Bloodhound Gang","2025-03-23 19:54:11","2025-03-23 19:54:11"
82,"Eric Clapton","2025-03-23 19:54:11","2025-03-23 19:54:11"
83,"Teddy Petersen","2025-03-23 19:54:11","2025-03-23 19:54:11"
84,"Nephew","2025-03-23 19:54:11","2025-03-23 19:54:11"
85,"Brenda Lee","2025-03-23 19:54:11","2025-03-23 19:54:11"
86,"Isobel Campbell","2025-03-23 19:54:11","2025-03-23 19:54:11"
87,"Buena vista social club","2025-03-23 19:54:11","2025-03-23 19:54:11"
88,"Crash test dummies","2025-03-23 19:54:11","2025-03-23 19:54:11"
89,"Shakin Stevens","2025-03-23 19:54:11","2025-03-23 19:54:11"
90,"Halberg-Larsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
91,"Otto Brandenburg","2025-03-23 19:54:11","2025-03-23 19:54:11"
92,"Ray Parker Junior","2025-03-23 19:54:11","2025-03-23 19:54:11"
93,"Meat Loaf","2025-03-23 19:54:11","2025-03-23 19:54:11"
94,"Calloway","2025-03-23 19:54:11","2025-03-23 19:54:11"
95,"Radiohead","2025-03-23 19:54:11","2025-03-23 19:54:11"
96,"Tue West","2025-03-23 19:54:11","2025-03-23 19:54:11"
97,"Poul Krebs","2025-03-23 19:54:11","2025-03-23 19:54:11"
98,"Richard Hawley","2025-03-23 19:54:11","2025-03-23 19:54:11"
99,"Duke Ellington","2025-03-23 19:54:11","2025-03-23 19:54:11"
100,"Tears for Fears","2025-03-23 19:54:11","2025-03-23 19:54:11"
101,"Gillian Welch","2025-03-23 19:54:11","2025-03-23 19:54:11"
102,"Poul Kjøller","2025-03-23 19:54:11","2025-03-23 19:54:11"
103,"Al Green","2025-03-23 19:54:11","2025-03-23 19:54:11"
104,"Dead or Alive","2025-03-23 19:54:11","2025-03-23 19:54:11"
105,"Sko & Torp","2025-03-23 19:54:11","2025-03-23 19:54:11"
106,"Suede","2025-03-23 19:54:11","2025-03-23 19:54:11"
107,"Marc Anthony","2025-03-23 19:54:11","2025-03-23 19:54:11"
108,"Brandi Carlile","2025-03-23 19:54:11","2025-03-23 19:54:11"
109,"Daniel Lanois","2025-03-23 19:54:11","2025-03-23 19:54:11"
110,"Allan Olsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
111,"Sebastian","2025-03-23 19:54:11","2025-03-23 19:54:11"
112,"Tøsedrengene","2025-03-23 19:54:11","2025-03-23 19:54:11"
113,"Robert Palmer","2025-03-23 19:54:11","2025-03-23 19:54:11"
114,"Santana","2025-03-23 19:54:11","2025-03-23 19:54:11"
115,"Paul McCartney","2025-03-23 19:54:11","2025-03-23 19:54:11"
116,"Sam Cooke","2025-03-23 19:54:11","2025-03-23 19:54:11"
117,"The band","2025-03-23 19:54:11","2025-03-23 19:54:11"
118,"Roxette","2025-03-23 19:54:11","2025-03-23 19:54:11"
119,"Trad.","2025-03-23 19:54:11","2025-03-23 19:54:11"
120,"Matchbox","2025-03-23 19:54:11","2025-03-23 19:54:11"
121,"Beatles","2025-03-23 19:54:11","2025-03-23 19:54:11"
122,"AC/DC","2025-03-23 19:54:11","2025-03-23 19:54:11"
123,"John Lenneon - John Denver","2025-03-23 19:54:11","2025-03-23 19:54:11"
124,"Grandmaster Flash & The Furious Five","2025-03-23 19:54:11","2025-03-23 19:54:11"
125,"Chubby Checker","2025-03-23 19:54:11","2025-03-23 19:54:11"
126,"Duran Duran","2025-03-23 19:54:11","2025-03-23 19:54:11"
127,"Dire Straits","2025-03-23 19:54:11","2025-03-23 19:54:11"
128,"Melissa Etheridge","2025-03-23 19:54:11","2025-03-23 19:54:11"
129,"Loretta Lynn","2025-03-23 19:54:11","2025-03-23 19:54:11"
130,"The Avett Brothers","2025-03-23 19:54:11","2025-03-23 19:54:11"
131,"Fats Domino","2025-03-23 19:54:11","2025-03-23 19:54:11"
132,"The Kinks","2025-03-23 19:54:11","2025-03-23 19:54:11"
133,"Alphaville","2025-03-23 19:54:11","2025-03-23 19:54:11"
134,"Jason Mraz","2025-03-23 19:54:11","2025-03-23 19:54:11"
135,"Bjørn Tidmand","2025-03-23 19:54:11","2025-03-23 19:54:11"
136,"Beach Boys","2025-03-23 19:54:11","2025-03-23 19:54:11"
137,"Mads Langer","2025-03-23 19:54:11","2025-03-23 19:54:11"
138,"Elton John","2025-03-23 19:54:11","2025-03-23 19:54:11"
139,"U2","2025-03-23 19:54:11","2025-03-23 19:54:11"
140,"The Rolling Stones","2025-03-23 19:54:11","2025-03-23 19:54:11"
141,"Nik Kershaw","2025-03-23 19:54:11","2025-03-23 19:54:11"
142,"The Doobie Brothers","2025-03-23 19:54:11","2025-03-23 19:54:11"
143,"Halfdan Rasmussen","2025-03-23 19:54:11","2025-03-23 19:54:11"
144,"Miriam Makeba","2025-03-23 19:54:11","2025-03-23 19:54:11"
145,"Erik Clausen og Leif Sylvester Petersen","2025-03-23 19:54:11","2025-03-23 19:54:11"
146,"Robyn","2025-03-23 19:54:11","2025-03-23 19:54:11"
147,"Kim Wilde","2025-03-23 19:54:11","2025-03-23 19:54:11"
148,"Miss Dasia Hackett ","2025-03-23 19:54:11","2025-03-23 19:54:11"
149,"Black Crowes","2025-03-23 19:54:11","2025-03-23 19:54:11"
150,"Britney Spears","2025-03-23 19:54:11","2025-03-23 19:54:11"
151,"Greg Holden","2025-03-23 19:54:11","2025-03-23 19:54:11"
152,"Bobby Mcferrin","2025-03-23 19:54:11","2025-03-23 19:54:11"
153,"Chris Deburgh","2025-03-23 19:54:11","2025-03-23 19:54:11"
154,"Monty Python","2025-03-23 19:54:11","2025-03-23 19:54:11"
155,"Sara Grabow","2025-03-23 19:54:11","2025-03-23 19:54:11"
156,"Mike Oldfield","2025-03-23 19:54:11","2025-03-23 19:54:11"
157,"De gyldne løver","2025-03-23 19:54:11","2025-03-23 19:54:11"
158,"Norman Krieg","2025-03-23 19:54:11","2025-03-23 19:54:11"
159,"Sade","2025-03-23 19:54:11","2025-03-23 19:54:11"
160,"Ray Dee Ohh","2025-03-23 19:54:11","2025-03-23 19:54:11"
161,"Frank Sinatra","2025-03-23 19:54:11","2025-03-23 19:54:11"
162,"The Doors","2025-03-23 19:54:11","2025-03-23 19:54:11"
163,"Ralph McTell","2025-03-23 19:54:11","2025-03-23 19:54:11"
164,"The Magnetic Fields","2025-03-23 19:54:11","2025-03-23 19:54:11"
165,"Wilson Pickett","2025-03-23 19:54:11","2025-03-23 19:54:11"
166,"Backstreet Boys","2025-03-23 19:54:11","2025-03-23 19:54:11"
167,"Gasolin","2025-03-23 19:54:11","2025-03-23 19:54:11"
168,"Bob Marley","2025-03-23 19:54:11","2025-03-23 19:54:11"
169,"Jimmy Cliff","2025-03-23 19:54:11","2025-03-23 19:54:11"
170,"Heinze","2025-03-23 19:54:11","2025-03-23 19:54:11"
171,"Dy Plambeck","2025-03-23 19:54:11","2025-03-23 19:54:11"
172,"David Bowie","2025-03-23 19:54:11","2025-03-23 19:54:11"
173,"ZZ Top","2025-03-23 19:54:11","2025-03-23 19:54:11"
174,"Albert Hammond","2025-03-23 19:54:11","2025-03-23 19:54:11"
175,"TuPac","2025-03-23 19:54:11","2025-03-23 19:54:11"
176,"Paul Simon","2025-03-23 19:54:11","2025-03-23 19:54:11"
177,"Ulige Numre","2025-03-23 19:54:11","2025-03-23 19:54:11"
178,"Anders Matthesen","2025-03-23 19:54:11","2025-03-23 19:54:11"
179,"Nick Cave","2025-03-23 19:54:11","2025-03-23 19:54:11"
180,"Suzi Quatro","2025-03-23 19:54:11","2025-03-23 19:54:11"
181,"Bob Dylan","2025-03-23 19:54:11","2025-03-23 19:54:11"
182,"Søren Kragh Jacobsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
183,"Rixton","2025-03-23 19:54:11","2025-03-23 19:54:11"
184,"Traveling Wilburys","2025-03-23 19:54:11","2025-03-23 19:54:11"
185,"The Verve","2025-03-23 19:54:11","2025-03-23 19:54:11"
186,"John Fogerty","2025-03-23 19:54:11","2025-03-23 19:54:11"
187,"Ugly Kid Joe","2025-03-23 19:54:11","2025-03-23 19:54:11"
188,"Jimi Hendrix","2025-03-23 19:54:11","2025-03-23 19:54:11"
189,"The Clash","2025-03-23 19:54:11","2025-03-23 19:54:11"
190,"Julie Maria & Nikolaj Busk","2025-03-23 19:54:11","2025-03-23 19:54:11"
191,"Ozzy Osbourne","2025-03-23 19:54:11","2025-03-23 19:54:11"
192,"Badfinger","2025-03-23 19:54:11","2025-03-23 19:54:11"
193,"Aage Stentoft","2025-03-23 19:54:11","2025-03-23 19:54:11"
194,"Sweet","2025-03-23 19:54:11","2025-03-23 19:54:11"
195,"Liller","2025-03-23 19:54:11","2025-03-23 19:54:11"
196,"Garth Brooks","2025-03-23 19:54:11","2025-03-23 19:54:11"
197,"Mary Black","2025-03-23 19:54:11","2025-03-23 19:54:11"
198,"Drengene fra Angora","2025-03-23 19:54:11","2025-03-23 19:54:11"
199,"Guns N' Roses","2025-03-23 19:54:11","2025-03-23 19:54:11"
